query_id,query_text,doc_id,relevance_score,query_category
Q_001,Enterprise search query 1,DOC_031145,2,Technical
Q_002,Enterprise search query 2,DOC_035714,0,Technical
Q_003,Enterprise search query 3,DOC_023453,2,Legal
Q_004,Enterprise search query 4,DOC_016144,2,Financial
Q_005,Enterprise search query 5,DOC_008188,3,Legal
Q_006,Enterprise search query 6,DOC_002627,3,Financial
Q_007,Enterprise search query 7,DOC_046879,3,Technical
Q_008,Enterprise search query 8,DOC_023717,3,Business
Q_009,Enterprise search query 9,DOC_010365,2,Legal
Q_010,Enterprise search query 10,DOC_021194,2,Legal
Q_011,Enterprise search query 11,DOC_035431,0,Legal
Q_012,Enterprise search query 12,DOC_028496,2,Financial
Q_013,Enterprise search query 13,DOC_012321,2,Legal
Q_014,Enterprise search query 14,DOC_034226,2,Business
Q_015,Enterprise search query 15,DOC_017324,1,Business
Q_016,Enterprise search query 16,DOC_013853,0,Business
Q_017,Enterprise search query 17,DOC_010055,3,Financial
Q_018,Enterprise search query 18,DOC_007926,0,Financial
Q_019,Enterprise search query 19,DOC_028008,0,Business
Q_020,Enterprise search query 20,DOC_041054,2,Business
Q_021,Enterprise search query 21,DOC_026282,3,Legal
Q_022,Enterprise search query 22,DOC_039604,3,Technical
Q_023,Enterprise search query 23,DOC_036628,3,Business
Q_024,Enterprise search query 24,DOC_042167,2,Business
Q_025,Enterprise search query 25,DOC_046591,2,Technical
Q_026,Enterprise search query 26,DOC_037868,0,Business
Q_027,Enterprise search query 27,DOC_032391,3,Business
Q_028,Enterprise search query 28,DOC_047655,2,Technical
Q_029,Enterprise search query 29,DOC_018979,2,Business
Q_030,Enterprise search query 30,DOC_036020,1,Legal
Q_031,Enterprise search query 31,DOC_001060,2,Financial
Q_032,Enterprise search query 32,DOC_034935,3,Technical
Q_033,Enterprise search query 33,DOC_027958,2,Business
Q_034,Enterprise search query 34,DOC_035624,2,Financial
Q_035,Enterprise search query 35,DOC_048522,1,Technical
Q_036,Enterprise search query 36,DOC_041372,2,Technical
Q_037,Enterprise search query 37,DOC_008588,2,Technical
Q_038,Enterprise search query 38,DOC_009198,2,Technical
Q_039,Enterprise search query 39,DOC_004275,1,Legal
Q_040,Enterprise search query 40,DOC_049608,0,Legal
Q_041,Enterprise search query 41,DOC_029941,2,Technical
Q_042,Enterprise search query 42,DOC_031989,0,Business
Q_043,Enterprise search query 43,DOC_027855,1,Business
Q_044,Enterprise search query 44,DOC_036954,3,Legal
Q_045,Enterprise search query 45,DOC_005215,2,Technical
Q_046,Enterprise search query 46,DOC_047175,0,Legal
Q_047,Enterprise search query 47,DOC_030515,3,Legal
Q_048,Enterprise search query 48,DOC_041023,0,Business
Q_049,Enterprise search query 49,DOC_029874,3,Business
Q_050,Enterprise search query 50,DOC_040422,0,Financial
Q_051,Enterprise search query 51,DOC_006295,2,Legal
